term_id,source,bucket,term_en,term_type,parent_term,field_name,field_value,entity_scope,access_scope,display_label_en,notes,priority,is_active
gtex.subregion.brain_nucleus_accumbens_basal_ganglia,gtex,sample_terms,nucleus accumbens (basal ganglia),value,gtex.tissue.brain,subregion,Nucleus accumbens (basal ganglia),samples,open,Nucleus accumbens (basal ganglia),GTEx subregion value for Brain.,2370,true
gtex.subregion.brain_putamen_basal_ganglia,gtex,sample_terms,putamen (basal ganglia),value,gtex.tissue.brain,subregion,Putamen (basal ganglia),samples,open,Putamen (basal ganglia),GTEx subregion value for Brain.,2380,true
gtex.subregion.brain_spinal_cord_cervical_c_1,gtex,sample_terms,spinal cord (cervical c-1),value,gtex.tissue.brain,subregion,Spinal cord (cervical c-1),samples,open,Spinal cord (cervical c-1),GTEx subregion value for Brain.,2390,true
gtex.subregion.brain_substantia_nigra,gtex,sample_terms,substantia nigra,value,gtex.tissue.brain,subregion,Substantia nigra,samples,open,Substantia nigra,GTEx subregion value for Brain.,2400,true
gtex.tissue.breast,gtex,sample_terms,breast,value,gtex.field.tissue,tissue,Breast,samples,open,Breast,GTEx major tissue term.,2410,true
gtex.subregion.breast_mammary_tissue,gtex,sample_terms,mammary tissue,value,gtex.tissue.breast,subregion,Mammary Tissue,samples,open,Mammary Tissue,GTEx subregion value for Breast.,2420,true
gtex.tissue.cervix_uteri,gtex,sample_terms,cervix uteri,value,gtex.field.tissue,tissue,Cervix Uteri,samples,open,Cervix Uteri,GTEx major tissue term.,2430,true
gtex.subregion.cervix_uteri_ectocervix,gtex,sample_terms,ectocervix,value,gtex.tissue.cervix_uteri,subregion,Ectocervix,samples,open,Ectocervix,GTEx subregion value for Cervix Uteri.,2440,true
gtex.subregion.cervix_uteri_endocervix,gtex,sample_terms,endocervix,value,gtex.tissue.cervix_uteri,subregion,Endocervix,samples,open,Endocervix,GTEx subregion value for Cervix Uteri.,2450,true
gtex.tissue.colon,gtex,sample_terms,colon,value,gtex.field.tissue,tissue,Colon,samples,open,Colon,GTEx major tissue term.,2460,true
gtex.subregion.colon_sigmoid,gtex,sample_terms,sigmoid,value,gtex.tissue.colon,subregion,Sigmoid,samples,open,Sigmoid,GTEx subregion value for Colon.,2470,true
gtex.subregion.colon_transverse,gtex,sample_terms,transverse,value,gtex.tissue.colon,subregion,Transverse,samples,open,Transverse,GTEx subregion value for Colon.,2480,true
gtex.tissue.esophagus,gtex,sample_terms,esophagus,value,gtex.field.tissue,tissue,Esophagus,samples,open,Esophagus,GTEx major tissue term.,2490,true
gtex.subregion.esophagus_gastroesophageal_junction,gtex,sample_terms,gastroesophageal junction,value,gtex.tissue.esophagus,subregion,Gastroesophageal Junction,samples,open,Gastroesophageal Junction,GTEx subregion value for Esophagus.,2500,true
gtex.subregion.esophagus_mucosa,gtex,sample_terms,mucosa,value,gtex.tissue.esophagus,subregion,Mucosa,samples,open,Mucosa,GTEx subregion value for Esophagus.,2510,true
gtex.subregion.esophagus_muscularis,gtex,sample_terms,muscularis,value,gtex.tissue.esophagus,subregion,Muscularis,samples,open,Muscularis,GTEx subregion value for Esophagus.,2520,true
gtex.tissue.fallopian_tube,gtex,sample_terms,fallopian tube,value,gtex.field.tissue,tissue,Fallopian Tube,samples,open,Fallopian Tube,GTEx major tissue term.,2530,true
gtex.tissue.heart,gtex,sample_terms,heart,value,gtex.field.tissue,tissue,Heart,samples,open,Heart,GTEx major tissue term.,2540,true
gtex.subregion.heart_atrial_appendage,gtex,sample_terms,atrial appendage,value,gtex.tissue.heart,subregion,Atrial Appendage,samples,open,Atrial Appendage,GTEx subregion value for Heart.,2550,true
gtex.subregion.heart_left_ventricle,gtex,sample_terms,left ventricle,value,gtex.tissue.heart,subregion,Left Ventricle,samples,open,Left Ventricle,GTEx subregion value for Heart.,2560,true
gtex.tissue.kidney,gtex,sample_terms,kidney,value,gtex.field.tissue,tissue,Kidney,samples,open,Kidney,GTEx major tissue term.,2570,true
gtex.subregion.kidney_cortex,gtex,sample_terms,cortex,value,gtex.tissue.kidney,subregion,Cortex,samples,open,Cortex,GTEx subregion value for Kidney.,2580,true
gtex.tissue.liver,gtex,sample_terms,liver,value,gtex.field.tissue,tissue,Liver,samples,open,Liver,GTEx major tissue term.,2590,true
gtex.tissue.lung,gtex,sample_terms,lung,value,gtex.field.tissue,tissue,Lung,samples,open,Lung,GTEx major tissue term.,2600,true
gtex.tissue.minor_salivary_gland,gtex,sample_terms,minor salivary gland,value,gtex.field.tissue,tissue,Minor Salivary Gland,samples,open,Minor Salivary Gland,GTEx major tissue term.,2610,true
gtex.tissue.muscle,gtex,sample_terms,muscle,value,gtex.field.tissue,tissue,Muscle,samples,open,Muscle,GTEx major tissue term.,2620,true
gtex.subregion.muscle_skeletal,gtex,sample_terms,skeletal,value,gtex.tissue.muscle,subregion,Skeletal,samples,open,Skeletal,GTEx subregion value for Muscle.,2630,true
gtex.tissue.nerve,gtex,sample_terms,nerve,value,gtex.field.tissue,tissue,Nerve,samples,open,Nerve,GTEx major tissue term.,2640,true
gtex.subregion.nerve_tibial,gtex,sample_terms,tibial,value,gtex.tissue.nerve,subregion,Tibial,samples,open,Tibial,GTEx subregion value for Nerve.,2650,true
gtex.tissue.ovary,gtex,sample_terms,ovary,value,gtex.field.tissue,tissue,Ovary,samples,open,Ovary,GTEx major tissue term.,2660,true
gtex.tissue.pancreas,gtex,sample_terms,pancreas,value,gtex.field.tissue,tissue,Pancreas,samples,open,Pancreas,GTEx major tissue term.,2670,true
gtex.tissue.pituitary,gtex,sample_terms,pituitary,value,gtex.field.tissue,tissue,Pituitary,samples,open,Pituitary,GTEx major tissue term.,2680,true
gtex.tissue.prostate,gtex,sample_terms,prostate,value,gtex.field.tissue,tissue,Prostate,samples,open,Prostate,GTEx major tissue term.,2690,true
gtex.tissue.skin,gtex,sample_terms,skin,value,gtex.field.tissue,tissue,Skin,samples,open,Skin,GTEx major tissue term.,2700,true
gtex.subregion.skin_not_sun_exposed_suprapubic,gtex,sample_terms,not sun exposed (suprapubic),value,gtex.tissue.skin,subregion,Not Sun Exposed (Suprapubic),samples,open,Not Sun Exposed (Suprapubic),GTEx subregion value for Skin.,2710,true
gtex.subregion.skin_sun_exposed_lower_leg,gtex,sample_terms,sun exposed (lower leg),value,gtex.tissue.skin,subregion,Sun Exposed (Lower leg),samples,open,Sun Exposed (Lower leg),GTEx subregion value for Skin.,2720,true
gtex.tissue.small_intestine,gtex,sample_terms,small intestine,value,gtex.field.tissue,tissue,Small Intestine,samples,open,Small Intestine,GTEx major tissue term.,2730,true
gtex.subregion.small_intestine_terminal_ileum,gtex,sample_terms,terminal ileum,value,gtex.tissue.small_intestine,subregion,Terminal Ileum,samples,open,Terminal Ileum,GTEx subregion value for Small Intestine.,2740,true
gtex.tissue.spleen,gtex,sample_terms,spleen,value,gtex.field.tissue,tissue,Spleen,samples,open,Spleen,GTEx major tissue term.,2750,true
gtex.tissue.stomach,gtex,sample_terms,stomach,value,gtex.field.tissue,tissue,Stomach,samples,open,Stomach,GTEx major tissue term.,2760,true
gtex.tissue.testis,gtex,sample_terms,testis,value,gtex.field.tissue,tissue,Testis,samples,open,Testis,GTEx major tissue term.,2770,true
gtex.tissue.thyroid,gtex,sample_terms,thyroid,value,gtex.field.tissue,tissue,Thyroid,samples,open,Thyroid,GTEx major tissue term.,2780,true
gtex.tissue.uterus,gtex,sample_terms,uterus,value,gtex.field.tissue,tissue,Uterus,samples,open,Uterus,GTEx major tissue term.,2790,true
gtex.tissue.vagina,gtex,sample_terms,vagina,value,gtex.field.tissue,tissue,Vagina,samples,open,Vagina,GTEx major tissue term.,2800,true
gtex.sample_attribute.male,gtex,sample_terms,male,value,gtex.field.sex,sex,male,samples,open,Male,Common GTEx phenotype filter value.,2810,true
gtex.sample_attribute.female,gtex,sample_terms,female,value,gtex.field.sex,sex,female,samples,open,Female,Common GTEx phenotype filter value.,2820,true
gtex.sample_attribute.20_29,gtex,sample_terms,20-29,value,gtex.field.age,age,20-29,samples,open,20-29,Common GTEx phenotype filter value.,2830,true
gtex.sample_attribute.30_39,gtex,sample_terms,30-39,value,gtex.field.age,age,30-39,samples,open,30-39,Common GTEx phenotype filter value.,2840,true
gtex.sample_attribute.40_49,gtex,sample_terms,40-49,value,gtex.field.age,age,40-49,samples,open,40-49,Common GTEx phenotype filter value.,2850,true
gtex.sample_attribute.50_59,gtex,sample_terms,50-59,value,gtex.field.age,age,50-59,samples,open,50-59,Common GTEx phenotype filter value.,2860,true
gtex.sample_attribute.60_69,gtex,sample_terms,60-69,value,gtex.field.age,age,60-69,samples,open,60-69,Common GTEx phenotype filter value.,2870,true
gtex.sample_attribute.70_79,gtex,sample_terms,70-79,value,gtex.field.age,age,70-79,samples,open,70-79,Common GTEx phenotype filter value.,2880,true
gtex.resource.read_count,gtex,data_terms,read count,display,gtex.entity.gene_expression,expression_unit,read count,dataset,open,Read Count,Core GTEx analysis or metadata resource.,2890,true
gtex.resource.tpm,gtex,data_terms,TPM,display,gtex.entity.gene_expression,expression_unit,TPM,dataset,open,TPM,Core GTEx analysis or metadata resource.,2900,true
gtex.resource.sample_attributes,gtex,data_terms,sample attributes,display,gtex.entity.sample_attributes,resource_name,sample attributes,dataset,open,Sample Attributes,Core GTEx analysis or metadata resource.,2910,true
gtex.resource.subject_phenotypes,gtex,data_terms,subject phenotypes,display,gtex.entity.subject_phenotypes,resource_name,subject phenotypes,dataset,open,Subject Phenotypes,Core GTEx analysis or metadata resource.,2920,true
gtex.resource.gene_expression,gtex,data_terms,gene expression,display,gtex.entity.gene_expression,resource_name,gene expression,dataset,open,Gene Expression,Core GTEx analysis or metadata resource.,2930,true
gtex.resource.eqtl,gtex,data_terms,eQTL,display,gtex.entity.eqtl,resource_name,eQTL,dataset,open,eQTL,Core GTEx analysis or metadata resource.,2940,true
gtex.resource.sqtl,gtex,data_terms,sQTL,display,gtex.entity.sqtl,resource_name,sQTL,dataset,open,sQTL,Core GTEx analysis or metadata resource.,2950,true
shared.display.clinical,shared,display_terms,clinical,display,,display_category,clinical,files,open,Clinical,Shared display concept for cross-source navigation.,2960,true
shared.display.biospecimen,shared,display_terms,biospecimen,display,,display_category,biospecimen,files,open,Biospecimen,Shared display concept for cross-source navigation.,2970,true
shared.display.mutation,shared,display_terms,mutation,display,,display_category,mutation,files,controlled,Mutation,Shared display concept for cross-source navigation.,2980,true
shared.display.copy_number,shared,display_terms,copy number,display,,display_category,copy number,files,open,Copy Number,Shared display concept for cross-source navigation.,2990,true
shared.display.normal_tissue,shared,display_terms,normal tissue,display,,display_category,normal tissue,samples,open,Normal Tissue,Shared display concept for cross-source navigation.,3000,true
shared.display.tumor,shared,display_terms,tumor,display,,display_category,tumor,samples,open,Tumor,Shared display concept for cross-source navigation.,3010,true
shared.display.primary_tumor,shared,display_terms,primary tumor,display,,display_category,primary tumor,samples,open,Primary Tumor,Shared display concept for cross-source navigation.,3020,true
