mapping_id,concept_id,source,rule_kind,target_field,target_value,target_term_id,notes,is_active
map.disease_kidney_chromophobe.tcga_gdc.tcga_gdc_project_tcga_kich,disease.kidney_chromophobe,tcga_gdc,structured_filter,project.project_id,TCGA-KICH,tcga_gdc.project.tcga_kich,Disease concept maps to related TCGA project code.,true
map.disease_kidney_renal_clear_cell_carcinoma.geo.kidney_renal_clear_cell_carcinoma,disease.kidney_renal_clear_cell_carcinoma,geo,query_term,,kidney renal clear cell carcinoma,,Reserved GEO query-expansion term derived from the shared concept layer.,true
map.disease_kidney_renal_clear_cell_carcinoma.gtex.gtex_tissue_kidney,disease.kidney_renal_clear_cell_carcinoma,gtex,structured_filter,tissue,Kidney,gtex.tissue.kidney,KIRC-specific concept maps to GTEx kidney tissue reference.,true
map.disease_kidney_renal_clear_cell_carcinoma.tcga_gdc.tcga_gdc_primary_site_kidney,disease.kidney_renal_clear_cell_carcinoma,tcga_gdc,structured_filter,cases.primary_site,Kidney,tcga_gdc.primary_site.kidney,"KIRC-specific concept maps to TCGA disease, project, and kidney site.",true
map.disease_kidney_renal_clear_cell_carcinoma.tcga_gdc.tcga_gdc_disease_type_kidney_renal_clear_cell_carcinoma,disease.kidney_renal_clear_cell_carcinoma,tcga_gdc,structured_filter,project.disease_type,Kidney Renal Clear Cell Carcinoma,tcga_gdc.disease_type.kidney_renal_clear_cell_carcinoma,"KIRC-specific concept maps to TCGA disease, project, and kidney site.",true
map.disease_kidney_renal_clear_cell_carcinoma.tcga_gdc.tcga_gdc_project_tcga_kirc,disease.kidney_renal_clear_cell_carcinoma,tcga_gdc,structured_filter,project.project_id,TCGA-KIRC,tcga_gdc.project.tcga_kirc,"KIRC-specific concept maps to TCGA disease, project, and kidney site.",true
map.disease_kidney_renal_papillary_cell_carcinoma.geo.kidney_renal_papillary_cell_carcinoma,disease.kidney_renal_papillary_cell_carcinoma,geo,query_term,,kidney renal papillary cell carcinoma,,Reserved GEO query-expansion term derived from the shared concept layer.,true
map.disease_kidney_renal_papillary_cell_carcinoma.gtex.gtex_tissue_kidney,disease.kidney_renal_papillary_cell_carcinoma,gtex,structured_filter,tissue,Kidney,gtex.tissue.kidney,KIRP-specific concept maps to GTEx kidney tissue reference.,true
map.disease_kidney_renal_papillary_cell_carcinoma.tcga_gdc.tcga_gdc_primary_site_kidney,disease.kidney_renal_papillary_cell_carcinoma,tcga_gdc,structured_filter,cases.primary_site,Kidney,tcga_gdc.primary_site.kidney,"KIRP-specific concept maps to TCGA disease, project, and kidney site.",true
map.disease_kidney_renal_papillary_cell_carcinoma.tcga_gdc.tcga_gdc_disease_type_kidney_renal_papillary_cell_carcinoma,disease.kidney_renal_papillary_cell_carcinoma,tcga_gdc,structured_filter,project.disease_type,Kidney Renal Papillary Cell Carcinoma,tcga_gdc.disease_type.kidney_renal_papillary_cell_carcinoma,"KIRP-specific concept maps to TCGA disease, project, and kidney site.",true
map.disease_kidney_renal_papillary_cell_carcinoma.tcga_gdc.tcga_gdc_project_tcga_kirp,disease.kidney_renal_papillary_cell_carcinoma,tcga_gdc,structured_filter,project.project_id,TCGA-KIRP,tcga_gdc.project.tcga_kirp,"KIRP-specific concept maps to TCGA disease, project, and kidney site.",true
map.disease_leukemia.geo.acute_myeloid_leukemia,disease.leukemia,geo,query_term,,acute myeloid leukemia,,Reserved GEO query-expansion term derived from the shared concept layer.,true
map.disease_leukemia.geo.leukemia,disease.leukemia,geo,query_term,,leukemia,,Reserved GEO query-expansion term derived from the shared concept layer.,true
map.disease_leukemia.gtex.gtex_tissue_blood,disease.leukemia,gtex,structured_filter,tissue,Blood,gtex.tissue.blood,Leukemia concept maps to GTEx blood reference.,true
map.disease_leukemia.tcga_gdc.tcga_gdc_disease_type_acute_myeloid_leukemia,disease.leukemia,tcga_gdc,structured_filter,project.disease_type,Acute Myeloid Leukemia,tcga_gdc.disease_type.acute_myeloid_leukemia,"Leukemia concept maps to LAML disease, project, and hematopoietic site.",true
map.disease_leukemia.tcga_gdc.tcga_gdc_primary_site_hematopoietic_and_reticuloendothelial_systems,disease.leukemia,tcga_gdc,structured_filter,cases.primary_site,Hematopoietic and Reticuloendothelial Systems,tcga_gdc.primary_site.hematopoietic_and_reticuloendothelial_systems,"Leukemia concept maps to LAML disease, project, and hematopoietic site.",true
map.disease_leukemia.tcga_gdc.tcga_gdc_project_tcga_laml,disease.leukemia,tcga_gdc,structured_filter,project.project_id,TCGA-LAML,tcga_gdc.project.tcga_laml,"Leukemia concept maps to LAML disease, project, and hematopoietic site.",true
map.disease_liver_hepatocellular_carcinoma.geo.liver_hepatocellular_carcinoma,disease.liver_hepatocellular_carcinoma,geo,query_term,,liver hepatocellular carcinoma,,Reserved GEO query-expansion term derived from the shared concept layer.,true
map.disease_liver_hepatocellular_carcinoma.tcga_gdc.tcga_gdc_disease_type_liver_hepatocellular_carcinoma,disease.liver_hepatocellular_carcinoma,tcga_gdc,structured_filter,project.disease_type,Liver Hepatocellular Carcinoma,tcga_gdc.disease_type.liver_hepatocellular_carcinoma,Disease concept maps to a TCGA disease type.,true
map.disease_liver_hepatocellular_carcinoma.tcga_gdc.tcga_gdc_project_tcga_lihc,disease.liver_hepatocellular_carcinoma,tcga_gdc,structured_filter,project.project_id,TCGA-LIHC,tcga_gdc.project.tcga_lihc,Disease concept maps to related TCGA project code.,true
map.disease_lower_grade_glioma.geo.brain_lower_grade_glioma,disease.lower_grade_glioma,geo,query_term,,brain lower grade glioma,,Reserved GEO query-expansion term derived from the shared concept layer.,true
map.disease_lower_grade_glioma.geo.lgg,disease.lower_grade_glioma,geo,query_term,,lgg,,Reserved GEO query-expansion term derived from the shared concept layer.,true
map.disease_lower_grade_glioma.geo.lower_grade_glioma,disease.lower_grade_glioma,geo,query_term,,lower grade glioma,,Reserved GEO query-expansion term derived from the shared concept layer.,true
map.disease_lower_grade_glioma.gtex.gtex_tissue_brain,disease.lower_grade_glioma,gtex,structured_filter,tissue,Brain,gtex.tissue.brain,Lower-grade glioma concept maps to GTEx brain tissue reference.,true
map.disease_lower_grade_glioma.tcga_gdc.tcga_gdc_primary_site_brain,disease.lower_grade_glioma,tcga_gdc,structured_filter,cases.primary_site,Brain,tcga_gdc.primary_site.brain,"Lower-grade glioma concept maps to LGG disease, project, and brain site.",true
map.disease_lower_grade_glioma.tcga_gdc.tcga_gdc_disease_type_brain_lower_grade_glioma,disease.lower_grade_glioma,tcga_gdc,structured_filter,project.disease_type,Brain Lower Grade Glioma,tcga_gdc.disease_type.brain_lower_grade_glioma,"Lower-grade glioma concept maps to LGG disease, project, and brain site.",true
map.disease_lower_grade_glioma.tcga_gdc.tcga_gdc_project_tcga_lgg,disease.lower_grade_glioma,tcga_gdc,structured_filter,project.project_id,TCGA-LGG,tcga_gdc.project.tcga_lgg,"Lower-grade glioma concept maps to LGG disease, project, and brain site.",true
map.disease_lung_adenocarcinoma.geo.lung_adenocarcinoma,disease.lung_adenocarcinoma,geo,query_term,,lung adenocarcinoma,,Reserved GEO query-expansion term derived from the shared concept layer.,true
map.disease_lung_adenocarcinoma.tcga_gdc.tcga_gdc_disease_type_lung_adenocarcinoma,disease.lung_adenocarcinoma,tcga_gdc,structured_filter,project.disease_type,Lung Adenocarcinoma,tcga_gdc.disease_type.lung_adenocarcinoma,Disease concept maps to a TCGA disease type.,true
map.disease_lung_adenocarcinoma.tcga_gdc.tcga_gdc_project_tcga_luad,disease.lung_adenocarcinoma,tcga_gdc,structured_filter,project.project_id,TCGA-LUAD,tcga_gdc.project.tcga_luad,Disease concept maps to related TCGA project code.,true
map.disease_lung_cancer.geo.lung_adenocarcinoma,disease.lung_cancer,geo,query_term,,lung adenocarcinoma,,Reserved GEO query-expansion term derived from the shared concept layer.,true
map.disease_lung_cancer.geo.lung_cancer,disease.lung_cancer,geo,query_term,,lung cancer,,Reserved GEO query-expansion term derived from the shared concept layer.,true
map.disease_lung_cancer.geo.lung_squamous_cell_carcinoma,disease.lung_cancer,geo,query_term,,lung squamous cell carcinoma,,Reserved GEO query-expansion term derived from the shared concept layer.,true
map.disease_lung_cancer.gtex.gtex_tissue_lung,disease.lung_cancer,gtex,structured_filter,tissue,Lung,gtex.tissue.lung,Lung cancer concept maps to GTEx lung tissue reference.,true
map.disease_lung_cancer.tcga_gdc.tcga_gdc_primary_site_bronchus_and_lung,disease.lung_cancer,tcga_gdc,structured_filter,cases.primary_site,Bronchus and Lung,tcga_gdc.primary_site.bronchus_and_lung,Lung cancer concept maps to LUAD/LUSC and lung primary site.,true
map.disease_lung_cancer.tcga_gdc.tcga_gdc_project_tcga_luad,disease.lung_cancer,tcga_gdc,structured_filter,project.project_id,TCGA-LUAD,tcga_gdc.project.tcga_luad,Lung cancer concept maps to LUAD/LUSC and lung primary site.,true
map.disease_lung_cancer.tcga_gdc.tcga_gdc_project_tcga_lusc,disease.lung_cancer,tcga_gdc,structured_filter,project.project_id,TCGA-LUSC,tcga_gdc.project.tcga_lusc,Lung cancer concept maps to LUAD/LUSC and lung primary site.,true
map.disease_lung_squamous_cell_carcinoma.geo.lung_squamous_cell_carcinoma,disease.lung_squamous_cell_carcinoma,geo,query_term,,lung squamous cell carcinoma,,Reserved GEO query-expansion term derived from the shared concept layer.,true
map.disease_lung_squamous_cell_carcinoma.tcga_gdc.tcga_gdc_disease_type_lung_squamous_cell_carcinoma,disease.lung_squamous_cell_carcinoma,tcga_gdc,structured_filter,project.disease_type,Lung Squamous Cell Carcinoma,tcga_gdc.disease_type.lung_squamous_cell_carcinoma,Disease concept maps to a TCGA disease type.,true
map.disease_lung_squamous_cell_carcinoma.tcga_gdc.tcga_gdc_project_tcga_lusc,disease.lung_squamous_cell_carcinoma,tcga_gdc,structured_filter,project.project_id,TCGA-LUSC,tcga_gdc.project.tcga_lusc,Disease concept maps to related TCGA project code.,true
map.disease_lymphoid_malignancy.geo.lymphoid_malignancy,disease.lymphoid_malignancy,geo,query_term,,lymphoid malignancy,,Reserved GEO query-expansion term derived from the shared concept layer.,true
map.disease_lymphoid_malignancy.geo.lymphoid_neoplasm,disease.lymphoid_malignancy,geo,query_term,,lymphoid neoplasm,,Reserved GEO query-expansion term derived from the shared concept layer.,true
map.disease_lymphoid_malignancy.geo.lymphoma,disease.lymphoid_malignancy,geo,query_term,,lymphoma,,Reserved GEO query-expansion term derived from the shared concept layer.,true
map.disease_lymphoid_malignancy.gtex.gtex_tissue_spleen,disease.lymphoid_malignancy,gtex,structured_filter,tissue,Spleen,gtex.tissue.spleen,Lymphoid malignancy concept maps to GTEx spleen reference.,true
map.disease_lymphoid_malignancy.tcga_gdc.tcga_gdc_primary_site_hematopoietic_and_reticuloendothelial_systems,disease.lymphoid_malignancy,tcga_gdc,structured_filter,cases.primary_site,Hematopoietic and Reticuloendothelial Systems,tcga_gdc.primary_site.hematopoietic_and_reticuloendothelial_systems,Lymphoid malignancy concept maps to DLBC and lymphoid-related primary site.,true
map.disease_lymphoid_malignancy.tcga_gdc.tcga_gdc_project_tcga_dlbc,disease.lymphoid_malignancy,tcga_gdc,structured_filter,project.project_id,TCGA-DLBC,tcga_gdc.project.tcga_dlbc,Lymphoid malignancy concept maps to DLBC and lymphoid-related primary site.,true
map.disease_lymphoid_neoplasm_diffuse_large_b_cell_lymphoma.geo.lymphoid_neoplasm_diffuse_large_b_cell_lymphoma,disease.lymphoid_neoplasm_diffuse_large_b_cell_lymphoma,geo,query_term,,lymphoid neoplasm diffuse large b-cell lymphoma,,Reserved GEO query-expansion term derived from the shared concept layer.,true
map.disease_lymphoid_neoplasm_diffuse_large_b_cell_lymphoma.tcga_gdc.tcga_gdc_disease_type_lymphoid_neoplasm_diffuse_large_b_cell_lymphoma,disease.lymphoid_neoplasm_diffuse_large_b_cell_lymphoma,tcga_gdc,structured_filter,project.disease_type,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,tcga_gdc.disease_type.lymphoid_neoplasm_diffuse_large_b_cell_lymphoma,Disease concept maps to a TCGA disease type.,true
map.disease_lymphoid_neoplasm_diffuse_large_b_cell_lymphoma.tcga_gdc.tcga_gdc_project_tcga_dlbc,disease.lymphoid_neoplasm_diffuse_large_b_cell_lymphoma,tcga_gdc,structured_filter,project.project_id,TCGA-DLBC,tcga_gdc.project.tcga_dlbc,Disease concept maps to related TCGA project code.,true
map.disease_lymphoma.geo.lymphoid_neoplasm_diffuse_large_b_cell_lymphoma,disease.lymphoma,geo,query_term,,lymphoid neoplasm diffuse large b-cell lymphoma,,Reserved GEO query-expansion term derived from the shared concept layer.,true
map.disease_lymphoma.geo.lymphoma,disease.lymphoma,geo,query_term,,lymphoma,,Reserved GEO query-expansion term derived from the shared concept layer.,true
map.disease_lymphoma.gtex.gtex_tissue_spleen,disease.lymphoma,gtex,structured_filter,tissue,Spleen,gtex.tissue.spleen,Lymphoma concept maps to GTEx spleen reference.,true
map.disease_lymphoma.tcga_gdc.tcga_gdc_primary_site_hematopoietic_and_reticuloendothelial_systems,disease.lymphoma,tcga_gdc,structured_filter,cases.primary_site,Hematopoietic and Reticuloendothelial Systems,tcga_gdc.primary_site.hematopoietic_and_reticuloendothelial_systems,"Lymphoma concept maps to DLBC disease, project, and hematopoietic site.",true
map.disease_lymphoma.tcga_gdc.tcga_gdc_disease_type_lymphoid_neoplasm_diffuse_large_b_cell_lymphoma,disease.lymphoma,tcga_gdc,structured_filter,project.disease_type,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,tcga_gdc.disease_type.lymphoid_neoplasm_diffuse_large_b_cell_lymphoma,"Lymphoma concept maps to DLBC disease, project, and hematopoietic site.",true
map.disease_lymphoma.tcga_gdc.tcga_gdc_project_tcga_dlbc,disease.lymphoma,tcga_gdc,structured_filter,project.project_id,TCGA-DLBC,tcga_gdc.project.tcga_dlbc,"Lymphoma concept maps to DLBC disease, project, and hematopoietic site.",true
map.disease_melanoma.geo.melanoma,disease.melanoma,geo,query_term,,melanoma,,Reserved GEO query-expansion term derived from the shared concept layer.,true
map.disease_melanoma.geo.skin_cutaneous_melanoma,disease.melanoma,geo,query_term,,skin cutaneous melanoma,,Reserved GEO query-expansion term derived from the shared concept layer.,true
map.disease_melanoma.gtex.gtex_tissue_skin,disease.melanoma,gtex,structured_filter,tissue,Skin,gtex.tissue.skin,Melanoma concept maps to GTEx skin tissue reference.,true
map.disease_melanoma.tcga_gdc.tcga_gdc_primary_site_skin,disease.melanoma,tcga_gdc,structured_filter,cases.primary_site,Skin,tcga_gdc.primary_site.skin,"Melanoma concept maps to SKCM disease, project, and skin site.",true
map.disease_melanoma.tcga_gdc.tcga_gdc_disease_type_skin_cutaneous_melanoma,disease.melanoma,tcga_gdc,structured_filter,project.disease_type,Skin Cutaneous Melanoma,tcga_gdc.disease_type.skin_cutaneous_melanoma,"Melanoma concept maps to SKCM disease, project, and skin site.",true
map.disease_melanoma.tcga_gdc.tcga_gdc_project_tcga_skcm,disease.melanoma,tcga_gdc,structured_filter,project.project_id,TCGA-SKCM,tcga_gdc.project.tcga_skcm,"Melanoma concept maps to SKCM disease, project, and skin site.",true
map.disease_mesothelioma.geo.mesothelioma,disease.mesothelioma,geo,query_term,,mesothelioma,,Reserved GEO query-expansion term derived from the shared concept layer.,true
map.disease_mesothelioma.gtex.gtex_tissue_lung,disease.mesothelioma,gtex,structured_filter,tissue,Lung,gtex.tissue.lung,Mesothelioma concept uses GTEx lung as nearest normal tissue reference.,true
map.disease_mesothelioma.tcga_gdc.tcga_gdc_disease_type_mesothelioma,disease.mesothelioma,tcga_gdc,structured_filter,project.disease_type,Mesothelioma,tcga_gdc.disease_type.mesothelioma,"Mesothelioma-specific concept maps to TCGA disease, project, and pleura site.",true
map.disease_mesothelioma.tcga_gdc.tcga_gdc_primary_site_pleura,disease.mesothelioma,tcga_gdc,structured_filter,cases.primary_site,Pleura,tcga_gdc.primary_site.pleura,"Mesothelioma-specific concept maps to TCGA disease, project, and pleura site.",true
map.disease_mesothelioma.tcga_gdc.tcga_gdc_project_tcga_meso,disease.mesothelioma,tcga_gdc,structured_filter,project.project_id,TCGA-MESO,tcga_gdc.project.tcga_meso,"Mesothelioma-specific concept maps to TCGA disease, project, and pleura site.",true
map.disease_neuroendocrine_tumor.geo.neuroendocrine_tumor,disease.neuroendocrine_tumor,geo,query_term,,neuroendocrine tumor,,Reserved GEO query-expansion term derived from the shared concept layer.,true
map.disease_neuroendocrine_tumor.geo.pheochromocytoma_and_paraganglioma,disease.neuroendocrine_tumor,geo,query_term,,pheochromocytoma and paraganglioma,,Reserved GEO query-expansion term derived from the shared concept layer.,true
map.disease_neuroendocrine_tumor.gtex.gtex_tissue_adrenal_gland,disease.neuroendocrine_tumor,gtex,structured_filter,tissue,Adrenal Gland,gtex.tissue.adrenal_gland,Neuroendocrine tumor concept maps to adrenal and pituitary references.,true
map.disease_neuroendocrine_tumor.gtex.gtex_tissue_pituitary,disease.neuroendocrine_tumor,gtex,structured_filter,tissue,Pituitary,gtex.tissue.pituitary,Neuroendocrine tumor concept maps to adrenal and pituitary references.,true
map.disease_neuroendocrine_tumor.tcga_gdc.tcga_gdc_primary_site_adrenal_gland,disease.neuroendocrine_tumor,tcga_gdc,structured_filter,cases.primary_site,Adrenal Gland,tcga_gdc.primary_site.adrenal_gland,Neuroendocrine tumor concept maps to PCPG and adrenal primary site.,true
map.disease_neuroendocrine_tumor.tcga_gdc.tcga_gdc_project_tcga_pcpg,disease.neuroendocrine_tumor,tcga_gdc,structured_filter,project.project_id,TCGA-PCPG,tcga_gdc.project.tcga_pcpg,Neuroendocrine tumor concept maps to PCPG and adrenal primary site.,true
map.disease_ovarian_cancer.geo.ovarian_cancer,disease.ovarian_cancer,geo,query_term,,ovarian cancer,,Reserved GEO query-expansion term derived from the shared concept layer.,true
map.disease_ovarian_cancer.geo.ovarian_serous_cystadenocarcinoma,disease.ovarian_cancer,geo,query_term,,ovarian serous cystadenocarcinoma,,Reserved GEO query-expansion term derived from the shared concept layer.,true
map.disease_ovarian_cancer.gtex.gtex_tissue_ovary,disease.ovarian_cancer,gtex,structured_filter,tissue,Ovary,gtex.tissue.ovary,Ovarian cancer concept maps to GTEx ovary tissue reference.,true
map.disease_ovarian_cancer.tcga_gdc.tcga_gdc_disease_type_ovarian_serous_cystadenocarcinoma,disease.ovarian_cancer,tcga_gdc,structured_filter,project.disease_type,Ovarian Serous Cystadenocarcinoma,tcga_gdc.disease_type.ovarian_serous_cystadenocarcinoma,"Ovarian cancer concept maps to OV disease, project, and ovary site.",true
map.disease_ovarian_cancer.tcga_gdc.tcga_gdc_primary_site_ovary,disease.ovarian_cancer,tcga_gdc,structured_filter,cases.primary_site,Ovary,tcga_gdc.primary_site.ovary,"Ovarian cancer concept maps to OV disease, project, and ovary site.",true
map.disease_ovarian_cancer.tcga_gdc.tcga_gdc_project_tcga_ov,disease.ovarian_cancer,tcga_gdc,structured_filter,project.project_id,TCGA-OV,tcga_gdc.project.tcga_ov,"Ovarian cancer concept maps to OV disease, project, and ovary site.",true
map.disease_ovarian_serous_cystadenocarcinoma.geo.ovarian_serous_cystadenocarcinoma,disease.ovarian_serous_cystadenocarcinoma,geo,query_term,,ovarian serous cystadenocarcinoma,,Reserved GEO query-expansion term derived from the shared concept layer.,true
map.disease_ovarian_serous_cystadenocarcinoma.tcga_gdc.tcga_gdc_disease_type_ovarian_serous_cystadenocarcinoma,disease.ovarian_serous_cystadenocarcinoma,tcga_gdc,structured_filter,project.disease_type,Ovarian Serous Cystadenocarcinoma,tcga_gdc.disease_type.ovarian_serous_cystadenocarcinoma,Disease concept maps to a TCGA disease type.,true
map.disease_ovarian_serous_cystadenocarcinoma.tcga_gdc.tcga_gdc_project_tcga_ov,disease.ovarian_serous_cystadenocarcinoma,tcga_gdc,structured_filter,project.project_id,TCGA-OV,tcga_gdc.project.tcga_ov,Disease concept maps to related TCGA project code.,true
map.disease_pancreatic_adenocarcinoma.geo.pancreatic_adenocarcinoma,disease.pancreatic_adenocarcinoma,geo,query_term,,pancreatic adenocarcinoma,,Reserved GEO query-expansion term derived from the shared concept layer.,true
map.disease_pancreatic_adenocarcinoma.tcga_gdc.tcga_gdc_disease_type_pancreatic_adenocarcinoma,disease.pancreatic_adenocarcinoma,tcga_gdc,structured_filter,project.disease_type,Pancreatic Adenocarcinoma,tcga_gdc.disease_type.pancreatic_adenocarcinoma,Disease concept maps to a TCGA disease type.,true
map.disease_pancreatic_adenocarcinoma.tcga_gdc.tcga_gdc_project_tcga_paad,disease.pancreatic_adenocarcinoma,tcga_gdc,structured_filter,project.project_id,TCGA-PAAD,tcga_gdc.project.tcga_paad,Disease concept maps to related TCGA project code.,true
map.disease_pancreatic_cancer.geo.pancreatic_adenocarcinoma,disease.pancreatic_cancer,geo,query_term,,pancreatic adenocarcinoma,,Reserved GEO query-expansion term derived from the shared concept layer.,true
map.disease_pancreatic_cancer.geo.pancreatic_cancer,disease.pancreatic_cancer,geo,query_term,,pancreatic cancer,,Reserved GEO query-expansion term derived from the shared concept layer.,true
map.disease_pancreatic_cancer.gtex.gtex_tissue_pancreas,disease.pancreatic_cancer,gtex,structured_filter,tissue,Pancreas,gtex.tissue.pancreas,Pancreatic cancer concept maps to GTEx pancreas tissue reference.,true
map.disease_pancreatic_cancer.tcga_gdc.tcga_gdc_primary_site_pancreas,disease.pancreatic_cancer,tcga_gdc,structured_filter,cases.primary_site,Pancreas,tcga_gdc.primary_site.pancreas,"Pancreatic cancer concept maps to PAAD disease, project, and pancreas site.",true
map.disease_pancreatic_cancer.tcga_gdc.tcga_gdc_disease_type_pancreatic_adenocarcinoma,disease.pancreatic_cancer,tcga_gdc,structured_filter,project.disease_type,Pancreatic Adenocarcinoma,tcga_gdc.disease_type.pancreatic_adenocarcinoma,"Pancreatic cancer concept maps to PAAD disease, project, and pancreas site.",true
map.disease_pancreatic_cancer.tcga_gdc.tcga_gdc_project_tcga_paad,disease.pancreatic_cancer,tcga_gdc,structured_filter,project.project_id,TCGA-PAAD,tcga_gdc.project.tcga_paad,"Pancreatic cancer concept maps to PAAD disease, project, and pancreas site.",true
map.disease_papillary_thyroid_carcinoma.geo.papillary_thyroid_carcinoma,disease.papillary_thyroid_carcinoma,geo,query_term,,papillary thyroid carcinoma,,Reserved GEO query-expansion term derived from the shared concept layer.,true
map.disease_papillary_thyroid_carcinoma.geo.ptc,disease.papillary_thyroid_carcinoma,geo,query_term,,ptc,,Reserved GEO query-expansion term derived from the shared concept layer.,true
map.disease_pheochromocytoma_and_paraganglioma.geo.pheochromocytoma_and_paraganglioma,disease.pheochromocytoma_and_paraganglioma,geo,query_term,,pheochromocytoma and paraganglioma,,Reserved GEO query-expansion term derived from the shared concept layer.,true
map.disease_pheochromocytoma_and_paraganglioma.gtex.gtex_tissue_adrenal_gland,disease.pheochromocytoma_and_paraganglioma,gtex,structured_filter,tissue,Adrenal Gland,gtex.tissue.adrenal_gland,PCPG-specific concept maps to GTEx adrenal gland tissue reference.,true
map.disease_pheochromocytoma_and_paraganglioma.tcga_gdc.tcga_gdc_primary_site_adrenal_gland,disease.pheochromocytoma_and_paraganglioma,tcga_gdc,structured_filter,cases.primary_site,Adrenal Gland,tcga_gdc.primary_site.adrenal_gland,"PCPG-specific concept maps to TCGA disease, project, and adrenal site.",true
map.disease_pheochromocytoma_and_paraganglioma.tcga_gdc.tcga_gdc_disease_type_pheochromocytoma_and_paraganglioma,disease.pheochromocytoma_and_paraganglioma,tcga_gdc,structured_filter,project.disease_type,Pheochromocytoma and Paraganglioma,tcga_gdc.disease_type.pheochromocytoma_and_paraganglioma,"PCPG-specific concept maps to TCGA disease, project, and adrenal site.",true
map.disease_pheochromocytoma_and_paraganglioma.tcga_gdc.tcga_gdc_project_tcga_pcpg,disease.pheochromocytoma_and_paraganglioma,tcga_gdc,structured_filter,project.project_id,TCGA-PCPG,tcga_gdc.project.tcga_pcpg,"PCPG-specific concept maps to TCGA disease, project, and adrenal site.",true
map.disease_prostate_adenocarcinoma.geo.prostate_adenocarcinoma,disease.prostate_adenocarcinoma,geo,query_term,,prostate adenocarcinoma,,Reserved GEO query-expansion term derived from the shared concept layer.,true
map.disease_prostate_adenocarcinoma.tcga_gdc.tcga_gdc_disease_type_prostate_adenocarcinoma,disease.prostate_adenocarcinoma,tcga_gdc,structured_filter,project.disease_type,Prostate Adenocarcinoma,tcga_gdc.disease_type.prostate_adenocarcinoma,Disease concept maps to a TCGA disease type.,true
map.disease_prostate_adenocarcinoma.tcga_gdc.tcga_gdc_project_tcga_prad,disease.prostate_adenocarcinoma,tcga_gdc,structured_filter,project.project_id,TCGA-PRAD,tcga_gdc.project.tcga_prad,Disease concept maps to related TCGA project code.,true
map.disease_prostate_cancer.geo.prostate_adenocarcinoma,disease.prostate_cancer,geo,query_term,,prostate adenocarcinoma,,Reserved GEO query-expansion term derived from the shared concept layer.,true
map.disease_prostate_cancer.geo.prostate_cancer,disease.prostate_cancer,geo,query_term,,prostate cancer,,Reserved GEO query-expansion term derived from the shared concept layer.,true
map.disease_prostate_cancer.gtex.gtex_tissue_prostate,disease.prostate_cancer,gtex,structured_filter,tissue,Prostate,gtex.tissue.prostate,Prostate cancer concept maps to GTEx prostate tissue reference.,true
map.disease_prostate_cancer.tcga_gdc.tcga_gdc_disease_type_prostate_adenocarcinoma,disease.prostate_cancer,tcga_gdc,structured_filter,project.disease_type,Prostate Adenocarcinoma,tcga_gdc.disease_type.prostate_adenocarcinoma,"Prostate cancer concept maps to PRAD disease, project, and site.",true
map.disease_prostate_cancer.tcga_gdc.tcga_gdc_primary_site_prostate_gland,disease.prostate_cancer,tcga_gdc,structured_filter,cases.primary_site,Prostate Gland,tcga_gdc.primary_site.prostate_gland,"Prostate cancer concept maps to PRAD disease, project, and site.",true
map.disease_prostate_cancer.tcga_gdc.tcga_gdc_project_tcga_prad,disease.prostate_cancer,tcga_gdc,structured_filter,project.project_id,TCGA-PRAD,tcga_gdc.project.tcga_prad,"Prostate cancer concept maps to PRAD disease, project, and site.",true
map.disease_rectum_adenocarcinoma.geo.rectum_adenocarcinoma,disease.rectum_adenocarcinoma,geo,query_term,,rectum adenocarcinoma,,Reserved GEO query-expansion term derived from the shared concept layer.,true
map.disease_rectum_adenocarcinoma.tcga_gdc.tcga_gdc_disease_type_rectum_adenocarcinoma,disease.rectum_adenocarcinoma,tcga_gdc,structured_filter,project.disease_type,Rectum Adenocarcinoma,tcga_gdc.disease_type.rectum_adenocarcinoma,Disease concept maps to a TCGA disease type.,true
map.disease_rectum_adenocarcinoma.tcga_gdc.tcga_gdc_project_tcga_read,disease.rectum_adenocarcinoma,tcga_gdc,structured_filter,project.project_id,TCGA-READ,tcga_gdc.project.tcga_read,Disease concept maps to related TCGA project code.,true
map.disease_sarcoma.geo.sarcoma,disease.sarcoma,geo,query_term,,sarcoma,,Reserved GEO query-expansion term derived from the shared concept layer.,true
map.disease_sarcoma.tcga_gdc.tcga_gdc_disease_type_sarcoma,disease.sarcoma,tcga_gdc,structured_filter,project.disease_type,Sarcoma,tcga_gdc.disease_type.sarcoma,Disease concept maps to a TCGA disease type.,true
map.disease_sarcoma.tcga_gdc.tcga_gdc_project_tcga_sarc,disease.sarcoma,tcga_gdc,structured_filter,project.project_id,TCGA-SARC,tcga_gdc.project.tcga_sarc,Disease concept maps to related TCGA project code.,true
map.disease_skin_cutaneous_melanoma.geo.skin_cutaneous_melanoma,disease.skin_cutaneous_melanoma,geo,query_term,,skin cutaneous melanoma,,Reserved GEO query-expansion term derived from the shared concept layer.,true
